Gene_id	{KEGG}	{SwissProt}	{IPR}	{GO}
Belnapia_sp.F-4-1GL002460	{K02073  ABC.MET.S, metQ  D-methionine transport system substrate-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{METQ_VIBCH Probable D-methionine-binding lipoprotein metQ OS=Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961) GN=metQ PE=3 SV=2}	{IPR004872; Lipoprotein NlpA family}	{NA}
Belnapia_sp.F-4-1GL002461	{NA}	{NA}	{IPR002477; Peptidoglycan binding-like}	{GO:0008152; metabolic process; Biological Process}
Belnapia_sp.F-4-1GL002462	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002463	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002464	{NA}	{NA}	{IPR006311; Twin-arginine translocation pathway, signal sequence  IPR018389; Extracellular solute-binding protein, family 7, bacteria}	{GO:0006810; transport; Biological Process  GO:0030288; outer membrane-bounded periplasmic space; Cellular Component}
Belnapia_sp.F-4-1GL002465	{NA}	{NA}	{IPR007387; Tripartite ATP-independent periplasmic transporter, DctQ component}	{NA}
Belnapia_sp.F-4-1GL002466	{NA}	{NA}	{IPR004681; TRAP dicarboxylate transporter, DctM subunit  IPR010656; TRAP C4-dicarboxylate transport system permease DctM subunit}	{GO:0016021; integral to membrane; Cellular Component}
Belnapia_sp.F-4-1GL002467	{NA}	{NA}	{IPR011234; Fumarylacetoacetase, C-terminal-related}	{GO:0003824; catalytic activity; Molecular Function  GO:0008152; metabolic process; Biological Process}
Belnapia_sp.F-4-1GL002468	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002469	{K07336  K07336  PKHD-type hydroxylase  1.14.11.-  Unclassified; Metabolism; Others}	{Y1929_CYAP7 PKHD-type hydroxylase PCC7424_1929 OS=Cyanothece sp. (strain PCC 7424) GN=PCC7424_1929 PE=3 SV=1}	{IPR005123; Oxoglutarate/iron-dependent oxygenase  IPR006620; Prolyl 4-hydroxylase, alpha subunit  IPR023550; PKHD-type hydroxylase}	{GO:0005506; iron ion binding; Molecular Function  GO:0016491; oxidoreductase activity; Molecular Function  GO:0016705; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; Molecular Function  GO:0016706; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; Molecular Function  GO:0031418; L-ascorbic acid binding; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL002470	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002471	{NA}	{NA}	{IPR005064; Bordetella uptake gene}	{GO:0030288; outer membrane-bounded periplasmic space; Cellular Component}
Belnapia_sp.F-4-1GL002472	{K00549  E2.1.1.14, metE  5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase  2.1.1.14  Metabolism; Amino Acid Metabolism; Cysteine and methionine metabolism [PATH:ko00270] Metabolism; Metabolism of Other Amino Acids; Selenocompound metabolism [PATH:ko00450]}	{NA}	{IPR002629; Methionine synthase, vitamin-B12 independent}	{GO:0003871; 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity; Molecular Function  GO:0009086; methionine biosynthetic process; Biological Process}
Belnapia_sp.F-4-1GL002473	{K01999  livK  branched-chain amino acid transport system substrate-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002474	{K03379  E1.14.13.22  cyclohexanone monooxygenase  1.14.13.22  Metabolism; Xenobiotics Biodegradation and Metabolism; Caprolactam degradation [PATH:ko00930]}	{PAMO_THEFY Phenylacetone monooxygenase OS=Thermobifida fusca (strain YX) GN=pamO PE=1 SV=1}	{NA}	{NA}
Belnapia_sp.F-4-1GL002475	{K00038  E1.1.1.53  3alpha(or 20beta)-hydroxysteroid dehydrogenase  1.1.1.53  Metabolism; Lipid Metabolism; Steroid hormone biosynthesis [PATH:ko00140]}	{HSD_MYCTU 3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase OS=Mycobacterium tuberculosis GN=fabG3 PE=1 SV=1}	{IPR002198; Short-chain dehydrogenase/reductase SDR  IPR002347; Glucose/ribitol dehydrogenase  IPR016040; NAD(P)-binding domain  IPR020904; Short-chain dehydrogenase/reductase, conserved site}	{GO:0000166; nucleotide binding; Molecular Function  GO:0008152; metabolic process; Biological Process  GO:0016491; oxidoreductase activity; Molecular Function}
Belnapia_sp.F-4-1GL002476	{K00097  pdxA  4-hydroxythreonine-4-phosphate dehydrogenase  1.1.1.262  Metabolism; Metabolism of Cofactors and Vitamins; Vitamin B6 metabolism [PATH:ko00750]}	{PDXA1_BRAJA 4-hydroxythreonine-4-phosphate dehydrogenase 1 OS=Bradyrhizobium japonicum (strain USDA 110) GN=pdxA1 PE=3 SV=1}	{IPR005255; Pyridoxal phosphate (active vitamin B6) biosynthesis PdxA}	{GO:0008615; pyridoxine biosynthetic process; Biological Process  GO:0050570; 4-hydroxythreonine-4-phosphate dehydrogenase activity; Molecular Function  GO:0051287; NAD binding; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL002477	{NA}	{NA}	{IPR005471; Transcription regulator IclR, N-terminal  IPR011991; Winged helix-turn-helix transcription repressor DNA-binding}	{GO:0003677; DNA binding; Molecular Function  GO:0006355; regulation of transcription, DNA-dependent; Biological Process}
Belnapia_sp.F-4-1GL002478	{NA}	{NA}	{IPR010737; Protein of unknown function, DUF1537}	{NA}
Belnapia_sp.F-4-1GL002479	{K04091  ssuD  alkanesulfonate monooxygenase  1.14.14.5  Unclassified; Metabolism; Energy metabolism}	{NTAA_CHEHE Nitrilotriacetate monooxygenase component A OS=Chelatobacter heintzii GN=ntaA PE=1 SV=2}	{IPR011251; Luciferase-like domain  IPR016215; Nitrilotriacetate monooxygenase component A/pristinamycin IIA synthase subunit A}	{GO:0004497; monooxygenase activity; Molecular Function  GO:0016705; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL002480	{NA}	{YTCB_PSESQ UPF0065 protein in tcbD-tcbE intergenic region OS=Pseudomonas sp. (strain P51) PE=3 SV=1}	{IPR005064; Bordetella uptake gene}	{GO:0030288; outer membrane-bounded periplasmic space; Cellular Component}
Belnapia_sp.F-4-1GL002481	{K00091  E1.1.1.219  dihydroflavonol-4-reductase  1.1.1.219  Metabolism; Biosynthesis of Other Secondary Metabolites; Flavonoid biosynthesis [PATH:ko00941]}	{DFRA_SYNY3 Putative dihydroflavonol-4-reductase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=dfrA PE=3 SV=1}	{IPR001509; NAD-dependent epimerase/dehydratase  IPR016040; NAD(P)-binding domain  IPR017829; Hopanoid-associated sugar epimerase}	{GO:0000166; nucleotide binding; Molecular Function  GO:0003824; catalytic activity; Molecular Function  GO:0044237; cellular metabolic process; Biological Process  GO:0050662; coenzyme binding; Molecular Function}
Belnapia_sp.F-4-1GL002482	{K00754  E2.4.1.-  --  --  Metabolism; Carbohydrate Metabolism; Fructose and mannose metabolism [PATH:ko00051]}	{NA}	{IPR017832; Glycosyl transferase, family 2, hopene-associated, HpnB}	{NA}
Belnapia_sp.F-4-1GL002483	{K06045  shc, sqhC  squalene-hopene cyclase  5.4.99.17  Metabolism; Lipid Metabolism; Steroid biosynthesis [PATH:ko00100]}	{SQHC_ZYMMO Squalene--hopene cyclase OS=Zymomonas mobilis (strain ATCC 31821 / ZM4 / CP4) GN=shc PE=3 SV=2}	{IPR006400; Hopene cyclase  IPR008930; Terpenoid cylases/protein prenyltransferase alpha-alpha toroid  IPR018333; Squalene cyclase}	{GO:0016866; intramolecular transferase activity; Molecular Function  GO:0019746; hopanoid biosynthetic process; Biological Process}
Belnapia_sp.F-4-1GL002484	{K06912  tfdA  alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase  1.14.11.-  Metabolism; Xenobiotics Biodegradation and Metabolism; Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]}	{TFDA_CUPPJ Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase OS=Cupriavidus pinatubonensis (strain JMP134 / LMG 1197) GN=tfdA PE=1 SV=1}	{IPR003819; Taurine catabolism dioxygenase TauD/TfdA}	{GO:0016491; oxidoreductase activity; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL002485	{K09969  aapJ, bztA  general L-amino acid transport system substrate-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{AAPJ_RHIL3 General L-amino acid-binding periplasmic protein AapJ OS=Rhizobium leguminosarum bv. viciae (strain 3841) GN=aapJ PE=3 SV=1}	{IPR001638; Extracellular solute-binding protein, family 3}	{GO:0005215; transporter activity; Molecular Function  GO:0006810; transport; Biological Process  GO:0030288; outer membrane-bounded periplasmic space; Cellular Component}
Belnapia_sp.F-4-1GL002486	{K02035  ABC.PE.S  peptide/nickel transport system substrate-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{NA}	{IPR000914; Bacterial extracellular solute-binding protein, family 5}	{GO:0005215; transporter activity; Molecular Function  GO:0006810; transport; Biological Process}
Belnapia_sp.F-4-1GL002487	{K01438  E3.5.1.16, argE  acetylornithine deacetylase  3.5.1.16  Metabolism; Amino Acid Metabolism; Arginine and proline metabolism [PATH:ko00330]}	{NA}	{IPR002933; Peptidase M20  IPR010182; Acetylornithine deacetylase/succinyl-diaminopimelate desuccinylase  IPR011650; Peptidase M20, dimerisation}	{GO:0008152; metabolic process; Biological Process  GO:0009014; succinyl-diaminopimelate desuccinylase activity; Molecular Function  GO:0009085; lysine biosynthetic process; Biological Process  GO:0016787; hydrolase activity; Molecular Function  GO:0046872; metal ion binding; Molecular Function}
Belnapia_sp.F-4-1GL002488	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002489	{K09969  aapJ, bztA  general L-amino acid transport system substrate-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{AAPJ_RHIL3 General L-amino acid-binding periplasmic protein AapJ OS=Rhizobium leguminosarum bv. viciae (strain 3841) GN=aapJ PE=3 SV=1}	{IPR001638; Extracellular solute-binding protein, family 3}	{GO:0005215; transporter activity; Molecular Function  GO:0006810; transport; Biological Process  GO:0030288; outer membrane-bounded periplasmic space; Cellular Component}
Belnapia_sp.F-4-1GL002490	{K01845  hemL  glutamate-1-semialdehyde 2,1-aminomutase  5.4.3.8  Metabolism; Amino Acid Metabolism; Amino acid related enzymes [BR:ko01007] Metabolism; Metabolism of Cofactors and Vitamins; Porphyrin and chlorophyll metabolism [PATH:ko00860]}	{GSA_MOOTA Glutamate-1-semialdehyde 2,1-aminomutase OS=Moorella thermoacetica (strain ATCC 39073) GN=hemL PE=3 SV=1}	{IPR004639; Tetrapyrrole biosynthesis, glutamate-1-semialdehyde aminotransferase  IPR005814; Aminotransferase class-III  IPR015421; Pyridoxal phosphate-dependent transferase, major region, subdomain 1  IPR015422; Pyridoxal phosphate-dependent transferase, major region, subdomain 2  IPR015424; Pyridoxal phosphate-dependent transferase, major domain}	{GO:0003824; catalytic activity; Molecular Function  GO:0008483; transaminase activity; Molecular Function  GO:0030170; pyridoxal phosphate binding; Molecular Function  GO:0033014; tetrapyrrole biosynthetic process; Biological Process  GO:0042286; glutamate-1-semialdehyde 2,1-aminomutase activity; Molecular Function}
Belnapia_sp.F-4-1GL002491	{K11475  vanR  GntR family transcriptional regulator, vanillate catabolism transcriptional regulator  --  Genetic Information Processing; Transcription; Transcription factors [BR:ko03000]}	{NA}	{IPR000524; Transcription regulator HTH, GntR  IPR011711; GntR, C-terminal  IPR011991; Winged helix-turn-helix transcription repressor DNA-binding}	{GO:0003700; sequence-specific DNA binding transcription factor activity; Molecular Function  GO:0005622; intracellular; Cellular Component  GO:0006355; regulation of transcription, DNA-dependent; Biological Process}
Belnapia_sp.F-4-1GL002492	{K00936  E2.7.3.-  --  --  Unclassified; Metabolism; Others}	{NA}	{IPR000014; PAS  IPR000700; PAS-associated, C-terminal  IPR001610; PAC motif  IPR001789; Signal transduction response regulator, receiver domain  IPR003594; ATPase-like, ATP-binding domain  IPR003661; Signal transduction histidine kinase, subgroup 1, dimerisation/phosphoacceptor domain  IPR004358; Signal transduction histidine kinase-related protein, C-terminal  IPR005467; Signal transduction histidine kinase, core  IPR009082; Signal transduction histidine kinase, homodimeric  IPR011006; CheY-like superfamily  IPR013655; PAS fold-3  IPR013656; PAS fold-4  IPR013767; PAS fold}	{GO:0000155; two-component sensor activity; Molecular Function  GO:0000156; two-component response regulator activity; Molecular Function  GO:0000160; two-component signal transduction system (phosphorelay); Biological Process  GO:0004673; protein histidine kinase activity; Molecular Function  GO:0004871; signal transducer activity; Molecular Function  GO:0005515; protein binding; Molecular Function  GO:0005524; ATP binding; Molecular Function  GO:0006355; regulation of transcription, DNA-dependent; Biological Process  GO:0007165; signal transduction; Biological Process  GO:0016020; membrane; Cellular Component  GO:0016310; phosphorylation; Biological Process  GO:0016772; transferase activity, transferring phosphorus-containing groups; Molecular Function  GO:0018106; peptidyl-histidine phosphorylation; Biological Process}
Belnapia_sp.F-4-1GL002493	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002494	{K00525  E1.17.4.1A, nrdA, nrdE  ribonucleoside-diphosphate reductase alpha chain  1.17.4.1  Metabolism; Nucleotide Metabolism; Purine metabolism [PATH:ko00230] Metabolism; Nucleotide Metabolism; Pyrimidine metabolism [PATH:ko00240] Genetic Information Processing; Replication and Repair; DNA repair and recombination proteins [BR:ko03400]}	{RIR1_FRG3G Putative ribonucleoside-diphosphate reductase large subunit OS=Frog virus 3 (isolate Goorha) GN=FV3-038R PE=3 SV=1}	{IPR000788; Ribonucleotide reductase large subunit, C-terminal  IPR008926; Ribonucleotide reductase R1 subunit, N-terminal  IPR013509; Ribonucleotide reductase large subunit, N-terminal}	{GO:0004748; ribonucleoside-diphosphate reductase activity; Molecular Function  GO:0005524; ATP binding; Molecular Function  GO:0005971; ribonucleoside-diphosphate reductase complex; Cellular Component  GO:0006260; DNA replication; Biological Process  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL002495	{NA}	{NA}	{IPR000014; PAS  IPR000700; PAS-associated, C-terminal  IPR001610; PAC motif  IPR003594; ATPase-like, ATP-binding domain  IPR003660; HAMP linker domain  IPR011102; Signal transduction histidine kinase, HWE region  IPR013655; PAS fold-3}	{GO:0000155; two-component sensor activity; Molecular Function  GO:0000160; two-component signal transduction system (phosphorelay); Biological Process  GO:0004673; protein histidine kinase activity; Molecular Function  GO:0004871; signal transducer activity; Molecular Function  GO:0005515; protein binding; Molecular Function  GO:0005524; ATP binding; Molecular Function  GO:0006355; regulation of transcription, DNA-dependent; Biological Process  GO:0007165; signal transduction; Biological Process  GO:0016021; integral to membrane; Cellular Component}
Belnapia_sp.F-4-1GL002496	{K00526  E1.17.4.1B, nrdB, nrdF  ribonucleoside-diphosphate reductase beta chain  1.17.4.1  Metabolism; Nucleotide Metabolism; Purine metabolism [PATH:ko00230] Metabolism; Nucleotide Metabolism; Pyrimidine metabolism [PATH:ko00240] Genetic Information Processing; Replication and Repair; DNA repair and recombination proteins [BR:ko03400]}	{RIR2_IIV6 Probable ribonucleoside-diphosphate reductase small subunit 376L OS=Invertebrate iridescent virus 6 GN=IIV6-376L PE=3 SV=1}	{IPR000358; Ribonucleotide reductase  IPR009078; Ferritin/ribonucleotide reductase-like  IPR012348; Ribonucleotide reductase-related}	{GO:0004748; ribonucleoside-diphosphate reductase activity; Molecular Function  GO:0009186; deoxyribonucleoside diphosphate metabolic process; Biological Process  GO:0016491; oxidoreductase activity; Molecular Function  GO:0046914; transition metal ion binding; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL002497	{NA}	{NA}	{IPR006119; Resolvase, N-terminal  IPR009057; Homeodomain-like}	{GO:0000150; recombinase activity; Molecular Function  GO:0003677; DNA binding; Molecular Function  GO:0005515; protein binding; Molecular Function  GO:0006310; DNA recombination; Biological Process}
Belnapia_sp.F-4-1GL002498	{K00936  E2.7.3.-  --  --  Unclassified; Metabolism; Others}	{NA}	{IPR000014; PAS  IPR000700; PAS-associated, C-terminal  IPR001610; PAC motif  IPR001789; Signal transduction response regulator, receiver domain  IPR003018; GAF domain  IPR003594; ATPase-like, ATP-binding domain  IPR003661; Signal transduction histidine kinase, subgroup 1, dimerisation/phosphoacceptor domain  IPR004358; Signal transduction histidine kinase-related protein, C-terminal  IPR005467; Signal transduction histidine kinase, core  IPR009082; Signal transduction histidine kinase, homodimeric  IPR011006; CheY-like superfamily  IPR013655; PAS fold-3}	{GO:0000155; two-component sensor activity; Molecular Function  GO:0000156; two-component response regulator activity; Molecular Function  GO:0000160; two-component signal transduction system (phosphorelay); Biological Process  GO:0004673; protein histidine kinase activity; Molecular Function  GO:0004871; signal transducer activity; Molecular Function  GO:0005515; protein binding; Molecular Function  GO:0005524; ATP binding; Molecular Function  GO:0006355; regulation of transcription, DNA-dependent; Biological Process  GO:0007165; signal transduction; Biological Process  GO:0016020; membrane; Cellular Component  GO:0016310; phosphorylation; Biological Process  GO:0016772; transferase activity, transferring phosphorus-containing groups; Molecular Function  GO:0018106; peptidyl-histidine phosphorylation; Biological Process}
Belnapia_sp.F-4-1GL002499	{K07667  kdpE  two-component system, OmpR family, KDP operon response regulator KdpE  --  Environmental Information Processing; Signal Transduction; Two-component system [PATH:ko02020] Environmental Information Processing; Signal Transduction; Two-component system [BR:ko02022]}	{NA}	{IPR001789; Signal transduction response regulator, receiver domain  IPR001867; Signal transduction response regulator, C-terminal  IPR011006; CheY-like superfamily  IPR011991; Winged helix-turn-helix transcription repressor DNA-binding}	{GO:0000156; two-component response regulator activity; Molecular Function  GO:0000160; two-component signal transduction system (phosphorelay); Biological Process  GO:0003677; DNA binding; Molecular Function  GO:0006355; regulation of transcription, DNA-dependent; Biological Process}
Belnapia_sp.F-4-1GL002500	{NA}	{NA}	{IPR001789; Signal transduction response regulator, receiver domain  IPR011006; CheY-like superfamily}	{GO:0000156; two-component response regulator activity; Molecular Function  GO:0000160; two-component signal transduction system (phosphorelay); Biological Process  GO:0006355; regulation of transcription, DNA-dependent; Biological Process}
Belnapia_sp.F-4-1GL002501	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002502	{NA}	{NA}	{IPR001647; DNA-binding HTH domain, TetR-type  IPR009057; Homeodomain-like  IPR015893; Tetracycline transcriptional regulator, TetR-like, C-terminal}	{GO:0003677; DNA binding; Molecular Function  GO:0005515; protein binding; Molecular Function}
Belnapia_sp.F-4-1GL002503	{K02014  ABC.FEV.OM  iron complex outermembrane recepter protein  --  Unclassified; Cellular Processes and Signaling; Pores ion channels}	{NA}	{IPR000531; TonB-dependent receptor, beta-barrel  IPR012910; TonB-dependent receptor, plug}	{GO:0004872; receptor activity; Molecular Function  GO:0005215; transporter activity; Molecular Function  GO:0006810; transport; Biological Process  GO:0016020; membrane; Cellular Component}
Belnapia_sp.F-4-1GL002504	{NA}	{NA}	{IPR000014; PAS  IPR000700; PAS-associated, C-terminal  IPR001610; PAC motif  IPR001789; Signal transduction response regulator, receiver domain  IPR003594; ATPase-like, ATP-binding domain  IPR003661; Signal transduction histidine kinase, subgroup 1, dimerisation/phosphoacceptor domain  IPR004358; Signal transduction histidine kinase-related protein, C-terminal  IPR005467; Signal transduction histidine kinase, core  IPR009082; Signal transduction histidine kinase, homodimeric  IPR011006; CheY-like superfamily  IPR013655; PAS fold-3}	{GO:0000155; two-component sensor activity; Molecular Function  GO:0000156; two-component response regulator activity; Molecular Function  GO:0000160; two-component signal transduction system (phosphorelay); Biological Process  GO:0004673; protein histidine kinase activity; Molecular Function  GO:0004871; signal transducer activity; Molecular Function  GO:0005515; protein binding; Molecular Function  GO:0005524; ATP binding; Molecular Function  GO:0006355; regulation of transcription, DNA-dependent; Biological Process  GO:0007165; signal transduction; Biological Process  GO:0016020; membrane; Cellular Component  GO:0016310; phosphorylation; Biological Process  GO:0016772; transferase activity, transferring phosphorus-containing groups; Molecular Function  GO:0018106; peptidyl-histidine phosphorylation; Biological Process}
Belnapia_sp.F-4-1GL002505	{NA}	{NA}	{IPR000014; PAS  IPR000160; Diguanylate cyclase, predicted  IPR001054; Adenylyl cyclase class-3/4/guanylyl cyclase  IPR001633; Diguanylate phosphodiesterase, EAL domain}	{GO:0004871; signal transducer activity; Molecular Function  GO:0007165; signal transduction; Biological Process  GO:0009190; cyclic nucleotide biosynthetic process; Biological Process  GO:0016849; phosphorus-oxygen lyase activity; Molecular Function  GO:0035556; intracellular signal transduction; Biological Process}
Belnapia_sp.F-4-1GL002506	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002507	{K13243  dos  c-di-GMP-specific phosphodiesterase  3.1.4.52  Unclassified; Metabolism; Nucleotide metabolism}	{NA}	{IPR001633; Diguanylate phosphodiesterase, EAL domain}	{NA}
Belnapia_sp.F-4-1GL002508	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002509	{NA}	{NA}	{IPR006179; 5'-Nucleotidase/apyrase  IPR008334; 5'-Nucleotidase, C-terminal}	{GO:0009166; nucleotide catabolic process; Biological Process  GO:0016787; hydrolase activity; Molecular Function}
Belnapia_sp.F-4-1GL002510	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002511	{NA}	{NA}	{IPR015943; WD40/YVTN repeat-like-containing domain}	{GO:0005515; protein binding; Molecular Function}
Belnapia_sp.F-4-1GL002512	{NA}	{NA}	{IPR018389; Extracellular solute-binding protein, family 7, bacteria}	{GO:0006810; transport; Biological Process  GO:0030288; outer membrane-bounded periplasmic space; Cellular Component}
Belnapia_sp.F-4-1GL002513	{K03863  vanB  vanillate monooxygenase  1.14.13.82  Metabolism; Xenobiotics Biodegradation and Metabolism; Aminobenzoate degradation [PATH:ko00627]}	{VANB_PSES9 Vanillate O-demethylase oxidoreductase OS=Pseudomonas sp. (strain ATCC 19151) GN=vanB PE=3 SV=1}	{IPR000951; Phthalate dioxygenase reductase  IPR001041; 2Fe-2S ferredoxin-type domain  IPR001433; Oxidoreductase FAD/NAD(P)-binding  IPR006058; 2Fe-2S ferredoxin, iron-sulphur binding site  IPR008333; Oxidoreductase, FAD-binding domain  IPR012675; Beta-grasp domain  IPR017927; Ferredoxin reductase-type FAD-binding domain  IPR017938; Riboflavin synthase-like beta-barrel}	{GO:0009055; electron carrier activity; Molecular Function  GO:0016491; oxidoreductase activity; Molecular Function  GO:0051536; iron-sulfur cluster binding; Molecular Function  GO:0051537; 2 iron, 2 sulfur cluster binding; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL002514	{NA}	{NA}	{IPR005302; Molybdenum cofactor sulfurase, C-terminal  IPR011037; Pyruvate kinase-like, insert domain  IPR015808; Molybdenum cofactor sulfurase, C-terminal-like}	{GO:0003824; catalytic activity; Molecular Function  GO:0030151; molybdenum ion binding; Molecular Function  GO:0030170; pyridoxal phosphate binding; Molecular Function}
Belnapia_sp.F-4-1GL002515	{NA}	{NA}	{IPR001387; Helix-turn-helix type 3  IPR010982; Lambda repressor-like, DNA-binding  IPR011051; Cupin, RmlC-type  IPR013096; Cupin 2, conserved barrel  IPR014710; RmlC-like jelly roll fold}	{GO:0003677; DNA binding; Molecular Function  GO:0043565; sequence-specific DNA binding; Molecular Function}
Belnapia_sp.F-4-1GL002516	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002517	{NA}	{NA}	{IPR023214; HAD-like domain}	{NA}
Belnapia_sp.F-4-1GL002518	{NA}	{NA}	{IPR011990; Tetratricopeptide-like helical  IPR013026; Tetratricopeptide repeat-containing domain  IPR019734; Tetratricopeptide repeat}	{GO:0005488; binding; Molecular Function  GO:0005515; protein binding; Molecular Function}
Belnapia_sp.F-4-1GL002519	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002520	{K00957  cysD  sulfate adenylyltransferase subunit 2  2.7.7.4  Metabolism; Energy Metabolism; Sulfur metabolism [PATH:ko00920] Metabolism; Nucleotide Metabolism; Purine metabolism [PATH:ko00230] Metabolism; Metabolism of Other Amino Acids; Selenocompound metabolism [PATH:ko00450]}	{CYSD_RHOP5 Sulfate adenylyltransferase subunit 2 OS=Rhodopseudomonas palustris (strain BisA53) GN=cysD PE=3 SV=1}	{IPR002500; Phosphoadenosine phosphosulphate reductase  IPR011784; Sulphate adenylyltransferase, small subunit  IPR014729; Rossmann-like alpha/beta/alpha sandwich fold}	{GO:0003824; catalytic activity; Molecular Function  GO:0004781; sulfate adenylyltransferase (ATP) activity; Molecular Function  GO:0008152; metabolic process; Biological Process  GO:0019419; sulfate reduction; Biological Process}
Belnapia_sp.F-4-1GL002521	{K00955  cysNC  bifunctional enzyme CysN/CysC  2.7.7.4 2.7.1.25  Metabolism; Energy Metabolism; Sulfur metabolism [PATH:ko00920] Metabolism; Nucleotide Metabolism; Purine metabolism [PATH:ko00230] Metabolism; Metabolism of Other Amino Acids; Selenocompound metabolism [PATH:ko00450]}	{NODQ_RHIS3 Bifunctional enzyme NodQ OS=Rhizobium sp. (strain N33) GN=nodQ PE=3 SV=1}	{IPR000795; Protein synthesis factor, GTP-binding  IPR002891; Adenylylsulphate kinase  IPR009000; Translation elongation/initiation factor/Ribosomal, beta-barrel  IPR009001; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal  IPR011779; Sulphate adenylyltransferase, large subunit}	{GO:0000103; sulfate assimilation; Biological Process  GO:0003924; GTPase activity; Molecular Function  GO:0004020; adenylylsulfate kinase activity; Molecular Function  GO:0005524; ATP binding; Molecular Function  GO:0005525; GTP binding; Molecular Function  GO:0016772; transferase activity, transferring phosphorus-containing groups; Molecular Function}
Belnapia_sp.F-4-1GL002522	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL002523	{NA}	{NA}	{IPR002155; Thiolase  IPR016038; Thiolase-like, subgroup  IPR016039; Thiolase-like}	{GO:0003824; catalytic activity; Molecular Function  GO:0008152; metabolic process; Biological Process  GO:0016747; transferase activity, transferring acyl groups other than amino-acyl groups; Molecular Function}
Belnapia_sp.F-4-1GL002524	{NA}	{NA}	{IPR002539; MaoC-like dehydratase}	{GO:0008152; metabolic process; Biological Process  GO:0016491; oxidoreductase activity; Molecular Function}
Belnapia_sp.F-4-1GL002525	{K07068  K07068  --  --  Unclassified; Poorly Characterized; General function prediction only}	{NA}	{IPR002878; Domain of unknown function DUF35, OB-fold, C-terminal  IPR022002; Domain of unknown function DUF35, rubredoxin-like zinc ribbon domain, N-terminal}	{NA}
